ticker,moneydj_url,official_url,moneydj_status,official_status,risk_rank,risk_method,risk_evidence
009827,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=009827.TW,https://www.esunam.com/ETF/etf-info/53?tab=1,ok,ok,RR4,explicit_override,
009828,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=009828.TW,https://www.ctbcinvestments.com/Etf/00719359/Info,ok,ok,RR5,explicit_override,
009829,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=009829.TW,https://www.uobam.com.tw/fund/etf/00719554,ok,ok,RR5,explicit_override,RR5; RR5; RR5
00982A,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00982A.TW,https://www.capitalfund.com.tw/etf/product/detail/399,ok,ok,RR4,equity_broad_rule,
00982B,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00982B.TW,https://www.ftft.com.tw/etf/product/details/?id=173,ok,ok,RR2,bond_risk_rule,
00982D,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00982D.TW,https://websys.fsit.com.tw/FubonETF/Fund/Profile.aspx?stkId=00982D,ok,ok,RR2,official_nearest_ticker,RR2
00982T,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00982T.TW,https://www.megafunds.com.tw/MEGA/etf/etf_product.aspx?id=22,ok,ok,RR4,equity_broad_rule,RR1; RR2; RR3; RR4; RR5
00983A,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00983A.TW,https://www.ctbcinvestments.com.tw/Etf/00586267/Info,ok,ok,RR4,equity_broad_rule,
00983B,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00983B.TW,https://www.uobam.com.tw/fund/etf/00580860,ok,ok,RR2,official_nearest_ticker,RR2; RR2; RR2; RR1; RR5
00983D,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00983D.TW,https://websys.fsit.com.tw/FubonETF/Fund/Profile.aspx?stkId=00983D,ok,ok,RR2,official_nearest_ticker,RR2
00984A,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00984A.TW,https://etf.allianzgi.com.tw/etf-info/E0001,ok,ok,RR4,equity_broad_rule,
00984B,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00984B.TW,https://www.uobam.com.tw/fund/etf/00580854,ok,ok,RR2,official_nearest_ticker,RR2; RR2; RR2; RR1; RR5
00984D,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00984D.TW,https://www.abfunds.com.tw/zh-tw/funds/etf/active/fixed-income/abitl-select-global-high-yield-active-etf.-.TW00000984D0.html,ok,ok,RR3,official_nearest_ticker,RR3; RR3; RR3; RR3; RR1
00985A,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00985A.TW,https://www.nomurafunds.com.tw/ETFWEB/product-description?fundNo=00985A&tab=basic,ok,ok,RR4,equity_broad_rule,
00985B,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00985B.TW,https://www.capitalfund.com.tw/etf/product/detail/390,ok,ok,RR2,bond_risk_rule,
00985D,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00985D.TW,https://www.blackrock.com/tw/products/349339/,ok,ok,RR2,bond_risk_rule,
00986A,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00986A.TW,https://www.tsit.com.tw/ETF/Home/ETFSeriesDetail/00986A,ok,ok,RR3,official_nearest_ticker,RR3; RR3; RR3; RR3; RR3
00986B,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00986B.TW,https://www.ftft.com.tw/etf/product/details/?id=176,ok,ok,RR2,bond_risk_rule,
00986D,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00986D.TW,https://www.fhtrust.com.tw/ETF/etf_detail/ETF25,ok,ok,RR2,official_nearest_ticker,RR2; RR2; RR2; RR2
00987A,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00987A.TW,https://www.tsit.com.tw/ETF/Home/ETFSeriesDetail/00987A,ok,ok,RR4,official_nearest_ticker,RR4; RR4; RR4; RR4; RR4
00987B,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00987B.TW,https://www.nomurafunds.com.tw/ETFWEB/product-description?fundNo=00987B&tab=basic,ok,ok,RR2,bond_risk_rule,
00987D,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00987D.TW,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=65YTW,ok,ok,RR2,explicit_override,RR2; RR2; RR2
00988A,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00988A.TW,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,ok,ok,RR4,official_nearest_ticker,RR4; RR4; RR4; RR4; RR4
00988B,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00988B.TW,https://www.esunam.com/ETF/etf-info/52?tab=1,ok,ok,RR3,bond_risk_rule,
00989A,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00989A.TW,https://am.jpmorgan.com/tw/zh/asset-management/twetf/products/jpmorgan-taiwan-us-tech-leaders-active-etf-TW00000989A5,ok,ok,RR5,equity_concentration_rule,
00989B,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00989B.TW,https://www.tsit.com.tw/active/202601TSIT_US_Focus/00989B/,ok,ok,RR3,bond_risk_rule,
00990A,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00990A.TW,https://www.yuantaetfs.com/product/detail/00990A/Basic_information,ok,ok,RR4,official_nearest_ticker,RR4; RR4; RR4; RR4; RR4
00990B,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00990B.TW,https://www.cathaysite.com.tw/ETF/detail/EEB,ok,ok,RR3,explicit_override,
00991A,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00991A.TW,https://www.fhtrust.com.tw/ETF/etf_detail/ETF23,ok,ok,RR4,official_nearest_ticker,RR4; RR4; RR4; RR4
00991B,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00991B.TW,https://www.blackrock.com/tw/products/351827/blackrock-ishares-10%20-year-usd-a-rated-corporate-bond-etf,ok,ok,RR2,explicit_override,
00992A,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00992A.TW,https://www.capitalfund.com.tw/etf/product/detail/500,ok,ok,RR5,equity_concentration_rule,
00993A,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00993A.TW,https://etf.allianzgi.com.tw/etf-info/E0002,ok,ok,RR4,equity_broad_rule,
00994A,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00994A.TW,https://www.fsitc.com.tw/FundDetail.aspx?ID=182#TabLinkdivEditTab9,ok,error,RR4,equity_broad_rule,
00995A,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00995A.TW,https://www.ctbcinvestments.com.tw/Etf/00653201/Info,ok,ok,RR4,equity_broad_rule,
00996A,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00996A.TW,https://www.megafunds.com.tw/MEGA/etf/etf_product.aspx?id=23,ok,ok,RR4,equity_broad_rule,RR1; RR2; RR3; RR4; RR5
00997A,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00997A.TW,https://www.capitalfund.com.tw/etf/product/detail/502,ok,ok,RR4,equity_broad_rule,
00998A,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00998A.TW,https://www.fhtrust.com.tw/ETF/etf_detail/ETF24,ok,ok,RR4,official_nearest_ticker,RR4; RR4; RR4; RR4
00999A,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00999A.TW,https://www.nomurafunds.com.tw/ETFWEB/product-description?fundNo=00999A&tab=basic,ok,ok,RR4,equity_broad_rule,
